etag|genre
952a1de7aeb63d39856777046e17d341|Talk News Interview 
7ce797eec212b80d55c4d01ad572943e|Sports non-event Basketball 
845cf89e6b9488a1362301543cb470de|News 
7f3c2a3d8390a968a624186627e0bd70|Talk News 
0dc5399b85a73fda4d0dd1ffd4f90a33|Sports talk Basketball 
8089b13b65d38f8d5131425ef4e2ab6f|News Interview Politics 
cfc469616d23c8c106371cd98dece8f2|News 
24191bcb6063bd4b69ef5fe2cc38b35f|News 
f3749e483a9391097ad6874654687248|Talk 
db46ab69b35659762c28cf07ebfce1b7|News Politics 
55fd9557c6d4add1a047c423fdc67954|Special Sports non-event Special 
28735ab781614d681ee2dba7e2858307|News 
ffd58e778a38018d3e9468faf1473f54|News 
f5f742a96e9f7cee96d69260ad463b81|News 
0b8f9ad2025b860a0772f2d0c8617ede|News 
fa1c37d151a23ccf90e49896e6a1f001|Newsmagazine Entertainment 
623bf53d7657aa70a821b71f65d6e306|News 
54083a9bbd0442951268b396ffbbe56a|Sports non-event News Sports talk 
93f3f885b1260125e96edc28e6305cfe|Talk 
7c494a6393fb5bf9349731f7e7eef12f|Newsmagazine Mystery Crime 
218e5e7deb077d6af1bda9a9e27830f5|Talk Newsmagazine 
787f07128287a5debfe355dbdf5793e6|Talk 
77875defd7f5103c83e9df6742d998ae|Sports talk 
ff175c1bffc5cfd7423ce5d293878fa9|News 
f7f42b7086faabc3aa562a965c8a7d25|News 
a6dde0feaa1ded01b47de55603ed59c5|Talk Newsmagazine 
49f5a3d34ad5d07af965041e99063165|Newsmagazine Entertainment 
22bcf93a75124879193d6a03477ee273|Sports non-event News Sports talk 
01f8d542780c7839db6d7c7dfc260b1a|News Politics 
8ce8f0679b85f6b22a1fdcda077c7305|News 
cd7bee5953eee8ac38371fb9d78f4eff|News 
b29e03072fcc8e376b709327882ce7cf|News 
dd09bb58cadd56965a9c4928cf643024|Reality Sports non-event 
333780c79da89a50dda0a5a0ca92c293|News 
63b6a436f9c379d059aa08e448333ac3|Talk News 
de34ad59ce6a7bef28592547fed06455|Talk Interview Politics 
264931eda2983c8b424e1c80d38ce1b7|Talk Public affairs 
0c5e205db55305d80a80a0dfcbac8976|Talk News 
fd2c1bdea3b06a49b2a2877f7518847f|News 
82fd1d9cee47836c99cd1fbe85f145ea|News Politics 
f0625955d84a042b1c7f27918d8b450f|Sports event Basketball 
4ce8da62bc6b2adb58642f16dceae9c0|News 
0980f0106bcdee5c1e1931c9149be0d9|News 
5f4b01b0b775a6af8db52317f3738bda|Newsmagazine 
0ac969a47022d35e6cadf5856a5c881a|Talk Newsmagazine 
ea2781e2bf9d7272eba2cc91ecb1e3a5|Talk News 
6f1b4bbbab1dd3e339fd2beb7f713f53|Sports non-event News Sports talk 
aa824f0334e6ed565908c8e21009643c|Talk Comedy 
7b356b862cf4740daa82f191ddb481de|News 
a94a20d562cfa446c548ff38cad811d1|Sports event Football 
d7d208ebd9480969e401d868e71851bb|News 
7090016d76c82ef320ee0209adc20aea|Sports event Olympics Skiing 
31a22a2964c065c2bea8586a229ce4c7|Talk Newsmagazine 
c334005bcb5e1bf7ee289ca5a0e96e74|Special Sports non-event Golf Special 
1ed8b6851c901dc08e1f675c3e5c7e1c|News Politics Interview 
faeb0adc1821683d58462d8235ad9945|News Interview Politics 
e6c0ad44140d37ebb8c2526612246a94|Talk Comedy 
6c64463c396852d8218500b3efb6dafd|Talk News 
67245ed65dd99754c23a239ab8207893|Talk Newsmagazine 
57cae80f5449825e3600751355241fcf|News Politics 
9a90524de0212572ba2dc745ca53293e|News Interview Politics 
e1db44e6e51b97f5facd7f114148787b|Newsmagazine Entertainment 
412325fc9c5e2b20f973986f0859eba9|News 
28f4aaf0e2d9659340a4f8bcb3d9caa6|News 
2e9fbb466b94e9f3bf48ea0e79e85f35|Talk Newsmagazine 
6cfaf383e9a358c28e55f7687fd04b83|News 
4c165a011b386ad56c20279ec0f51e89|Talk 
8b9ea3e077fce64ff75f4c5b17d3465b|Talk 
7dd853df234efab8428013c54fc3e2e4|Talk News 
22e0ab8bfe65ff8728acd94ce5d8e86c|Talk News 
a772337c3f62abcee829cf68b67582cf|Talk News 
d144945508ccc6d1b467a62050e4f6ce|News 
7797e093f5e6b2c8ddae68f1833c7e73|Talk News 
a0bb11b2b89cc6777c0b5e84cf767f2f|News Public affairs 
637f95452daf314e944ea20eb98b14fc|Newsmagazine 
dfaa136058fc3c288d0ef9e2107b8d8e|Special Sports non-event Golf Special 
7d8bba47faeda35e7bf67ddbfedd4e00|Talk News Public affairs Politics 
c90c34d0823952892268726b03f1b0e8|News 
f2e4f521f32e76f16a5118fae6654f88|News Newsmagazine 
c303044902dd5c26fa7a11c0a9bfb428|Talk Comedy 
5431a78aa6823681c7fe5f27ef33d962|News 
87933f765d1424670f283594e4e635b6|Sports event Basketball 
4fd5f972d79f2680338a2ad6b8d6fa53|News Newsmagazine 
85657575dac0a5e6cf5a2e64b458973e|Talk 
c2e2723c1af34cf1f747f79981dd5928|Talk News Bus./financial 
d521a985ece2486ce0ea47520d09c48f|News 
bb6462d5ce6da42c927884b5c0c13176|News 
2037248f810bf2447d2ec81301587721|News 
b168e4a90583bcbac263c9dc3584d315|Talk News 
5fae4a17b67686d723cae995f1147589|Talk News Entertainment 
e9733ba7b728e9bb86d3ca621fad4bf5|News 
2bac736141397fe5f6774df39e821928|News 
a5593fdfcde23653b2a7634ef98033a2|News Interview Politics Talk 
3e686d193bc9feec13a06ec9bcf07fa7|News 
059046052bb516b58d1fb8238b3c7170|News 
888bc7e91c1937162cec63e5e9b3b9ac|News 
8b2572a5aef52dceed1ba52d89f86d5a|News 
8fbdc0de3ddcefca25117ea65ee28709|News Public affairs 
fae0f81347cb558843c362f53470010b|Sports event Basketball 
0176be858b8fc144673984de42720480|Talk News 
4ee56aea62fc059a19906e2839a1dedc|Talk Interview 
784ec176bcc9a15273a0b26a2e348d1c|News 
ef93a0ee91d0622fdfc4f410bd9c5cc3|Sports talk 
6581a1da43eb2341d1414af63cadb4b7|News 
ace295dcae4568d98fefc7fb09bf4880|Sports talk Sports non-event 
facf931f4db94b7b54f63edaefa01ba0|Talk 
41097affd1bb223b9a99222ea8bb226a|Talk Interview 
e2fc4553111e9544a2018a5ed6b0b612|News 
925055392d691893a5108422b3528083|News 
0933de53ea857c31dbc2ad8742b57807|Sports non-event News Sports talk 
2cdb6e9727578726ebfad81a0d049506|News 
e04158fa7cbc7eb9c0665e1d29ff0cce|News 
4d4a46698df9cc10e0900786f56516a1|News 
9c8f8d0573f655301c6ab7e7cfb11b1b|News 
6899895d94410c6900f59e8a360b4695|News 
166a2c861ea47b6b759433c4c6ca40de|Newsmagazine Entertainment 
29636d8ea2c984c5971b5c06ccda55e6|Sports event Basketball Playoff sports 
eeea0b0cbfc884770c7ff81b7a3ad110|Sports talk Sports non-event 
024bc8d7abd635e795d3dc7819a52453|Sports event Basketball 
56e82d5cb0bd2a259e8b95f377baccd9|Talk News 
d949fe5563f44606d5b88a222d5c9f85|Talk News 
5558a2de1184184b56d0f6e70b701edd|News 
586f6905ed4eb4c71c7f5661812b209d|News 
9e19fd3d4a4e72427f87333c1cf2259e|Sports talk News 
abbcb6f4751c51c4baa921f33034dd05|News 
0585c753e11c2a2215f8a6141ff4ace3|News 
38c74119be84e661bc3f75fae1541656|Talk Interview Politics 
f8d7fcaf528cfa28753860c4bda6136d|Sports non-event News 
7c088f042aece519390ef6703196a0e1|News 
3ea6586915dd73e75d0a7930b7d1164f|News Politics 
084cfedf4cd74603344d63507e2f3b8f|Sports non-event News Sports talk 
9c47e597a678729b67780a95e6d5747e|News 
f34f562b8a2e70b6a9b54d2eae2f0cc7|News 
eec1f8a1730bc048e6b5dccdba5d428f|News 
30a1b51ff64530a0091097cc3608a1c8|News 
94c970159bc5e5b0bd805310efe0efa7|Talk News 
20d83f959c5353ea0241bcdab7d31c0f|Talk News Entertainment 
7c1d5b42c8d9d7c179d2ceec7aee44ed|News 
fe557725cec690223d33fd6eabc91ce5|Sports talk Sports non-event 
5e07e9b0b8df6478b01f273d157ad1ff|Sports non-event News Sports talk 
114053e5f0b65b3897235f46275a1c0e|Talk News 
c97cbbdcda4f06f7df61f77596c657a1|News 
0a2f3b87197a0b572dc6bd83bc00ed4f|News 
5d50ee952041ba0e949d97de785e2760|Talk Newsmagazine 
60a8728377539ae16d0a485e09c3918c|News 
f0e426196885412552162f5f88421e34|News 
ee6ec10dd0d7134547bc39ca4cca8f76|Talk News 
ce03ff8a465b6e3f762a82888f487e4b|Talk 
e45dba93f24f319ca713baf6cc06437c|News 
0c4a8e458720f8bc638524671a251b62|Sports non-event Outdoors 
5dbb840094a4b7a38797b1d1d55ce21f|Newsmagazine 
6c0ca833d64365eb367019760aab62c5|News 
0d79a03b114248c71fa0bdf88b7a1af2|Talk News Interview 
00acbb5de44195132151c2da3ddea90d|News 
66616e6c97b795ae6490242d3ae02604|News 
7cfb488fea3921aba21daf6998f78b25|News 
567b918c91c9313dc789987721af1069|News 
14cf3c7337634aae3d312599b605ad76|News 
8e1d9293a18deb346947bca3690616ec|News 
2e04fef5642bf2789e0a86b3eeedc051|News 
3cb0982698d67e7e95dd97335c2625c1|Talk News 
fde16f8357586217936641513c1715fc|Talk News 
2db08590ce5dfc38dc756563e449d23f|Talk News 
e32fb58c531cee8d93c8a8eabc0ef1a1|News 
d4bf6bb4aacd6dc2d4ee858e5288e18c|News Politics 
84d6ff2075a6eda657aa782f9ff47406|Sports event Basketball 
2f9849654918d0a2fba9c69d6c8d3b29|Newsmagazine 
ad36a173fe7bf689bc274ea656eaff1e|Bus./financial News 
81210910fdf26c29a0cb1ff88819be69|News 
9aaef7eb563fd97f37597110ce0e236e|News 
84f5351dca142e6d89feee2366ac054c|Sports non-event News Sports talk 
8c89577c95bc32de6cfe7da07f499aae|Sports non-event News Sports talk 
057de40e848d83308468d395bb3ae567|News 
a1d1223ffa1dccfdfcb80e68c767724c|News 
08eee6e50465e2dcf60e4bb9ceaaf178|News Interview Politics 
7f64d92bf72b9c84194eeac5eee3b89c|Bus./financial News 
dbbed988671525a000d941d7f6f7d09a|News 
d4ae9f2dfb6a23d35177060812e5527c|Sports talk Sports non-event 
a091c8f459460107c8b4723f8a75067c|Talk 
b4ec0cc5dd2d29f610da7ca4ca8734ee|Talk Newsmagazine 
6537307bf841ad79702c45e388670881|News 
c9936d35682f24a25ce4d6a218ca537b|News Public affairs 
18167d69f878980b886247200c20fa88|News 
89cfbaade81f4a6d3d5f3d97adc9ee73|News 
cd4dc4f2b4a523ed1f0f23be9556fa04|News 
7289f453af52472419f43314f0921934|News 
6a4fb07d05c2a9049c59e52db4ceefd4|Sports event Basketball 
0490a1635254054d71596600f464f1f2|News 
91911a349a628555ed79ace6a3753ad9|Newsmagazine 
01ba06388b338356e3d972d726911952|Talk News 
efa0190e5406eb34a806ecf70a940524|News 
e752c4f53ab3be6697bdb5e0affe5d94|News Politics 
60e4f8f5a0b52203a8ef05870263c20b|News 
cc6e65892edd08799138d07c0b75a5e1|Talk Newsmagazine 
aca6874dfd12bc2b319fed35f3a4d815|Talk News Interview 
6e6ac1d7bd1598787559df579fb5478b|Talk Cooking 
9255f9b69128618f54a749152b293cb4|Sports non-event Football 
10cc4e93d4a0e9f029f2febb645f261f|Sports non-event Basketball 
f5f794fd78713d80e1618cd5fee91ec5|Talk Comedy 
a5fcde630c0088a0c3a0565498d59e0c|Talk News 
4f0c35b43727fcc180454d6ed4ea0a5a|Talk 
04f232be35ac61d3a37e98d1d4fd2b3c|Talk News 
7cfbf1e8a7b61b5636ca86ad417aa9a4|News Public affairs 
6ecf564b9ce25000f941b1f43bac0528|Interview News 
9898475cc9c235188375d7ebaabb7ea9|Talk Newsmagazine 
4ce1c8d4fcacf92143b4dc65904cfe5f|News 
bbcc169879bdc22fa2a417764fe47b3e|Sports non-event News Sports talk 
47315005b65bca304fd76876ef3d9021|News Talk Politics Interview Public affairs 
5e5034cd876fe40b4233f965b4734a06|News 
186bea2adb0d8148f9a12781284a9df6|Newsmagazine Entertainment 
c63736df924e3e3d875da0f2107416fd|Sports non-event Basketball 
c04d792631e4bedf7d27a711f1ac8804|Sports non-event News Sports talk 
2a56dcfda7f148bd67ffddf05038add8|Newsmagazine Entertainment 
a5529f6e708cb91bac37faec24de0a24|News 
3bea8044c3cc8cc372342f1ea36db803|News 
29fe13b3eae9827cea7c971460da46f0|Talk News 
7f597fc980304dbae0c1407b30b21fd8|Sports event Basketball 
d2a9d83e94105d69dd63204d526342d0|News 
f322c8905d8eb8661504e75941ab0144|News 
d1e53d366088181c20e9fcd0ca863a2b|News 
c4201319e7c32e34e9e72c80abc2c599|Sports talk Sports non-event 
cb3cfa0c40e983a4dd0e0ec31bfb7cc1|Talk News Interview 
c2f8916b2f7350cad0cb4d54f34885d0|Talk News 
4ac4d50b4bcacbfd726c39ad6fad59fb|News Interview Politics 
98b3f51aa37547f7cd8be130d01444a5|Sports talk 
1749ca188e6f5cf4d0570a4e88167e80|News 
8ca43a997ae15888f9d540d682ca8293|Talk Newsmagazine 
7948d535eea04b09ae8ad7fe2a244d3f|News 
eef4334979a450169642df77a718d162|News 
5c332e9ef3cdc3e6606f32d476834079|News 
c84c73c89cc7ebb93e4c93ea2c93bc86|Newsmagazine Entertainment 
b30113ca86ad515262fe64c2e0ad3453|Sports non-event News Sports talk 
4336c934cc45e18f45b5666f6a2eeede|News 
22e9b182d9ad6407222b13b9956cd3e1|Talk News 
0ff6b73c98a27ed74abcf9577fec93b5|Talk News 
5d079dc9524c7dbeb120cd9da7b5d28d|News Newsmagazine 
2fa3061d1065a9be0b78deed3a1cadc0|News Public affairs 
6525ac4b09464f241dc81e4f66f71537|News 
d05d23d307cf403fed3e53354696ba29|News 
835a8556811f3a3a738fea35865e9f8e|News Entertainment Comedy 
f10cf5ec64c223a8312ffb426afca0bd|News 
e2144021e9c363c8281be75b33fbc27a|News Politics 
6db77a6946de46ea91a9872a924f4d4a|News Talk Politics Interview Public affairs 
784bd6b173eb686f947adcb71ff43c90|Talk Interview 
25f945c29ee4694d6954efeab9561e92|News 
0bfde001d2b7255de113fbfbe0aa73dd|Talk News 
c4b7777a0881770c5e5e7b66fb388643|Sports non-event News Sports talk 
1eb1c268c165ac05ac3f2e31da545518|News Newsmagazine 
2f5afbc6d8c3a86094c41c4f56f88894|Talk News Bus./financial 
ca16d4f6d7783ef6750320277064b64e|News Politics 
1cafbe754fde7466f0b098989834046c|News 
eb0e505f76d77c862e3f73bf302b598c|News 
abe3c53ec3d8fd08517dc667b090a017|News 
1eedee42a16bd479cf3de3748219b1ee|News Entertainment Comedy 
ee52005eab61e7beb9c3034934fa99ba|News Politics 
ea48efc763daca8913bbc659528c9804|Talk Comedy 
7a7adbcca64b8d4c003b41c8e68f3a9b|News 
a6b984722ba14b1dece2dda2c1cac63b|Talk 
865ce645e34d6dca51258c7970a6ea4b|Sports event Football Playoff sports 
e437bf5d68a139b9ceea0d471a3de719|News 
121bd5ff8ce82381260f90a18d1a2e15|News 
8e1ecb5d108a314759b51eef38e531ad|Sports talk Sports non-event 
9a55d346387f2b63cc36e5ca61909ae5|Talk Interview 
1afcc6b4a292d1b756bcb96774d5e4dd|News 
e5003a61eaefac6a1fcbeffe4c7f4c3c|Talk Cooking 
fb624ddf7a90ae2488dbce44181facd0|Talk News 
e48aa5bde7018d74423c1742fae32457|Talk Interview Politics 
241f488afe435bace0892e3a3cc5697b|Sports non-event Basketball 
3f498fe1d66a26b04a85cfb0c1ef6143|Talk 
2c50baf08ed5b98e4c6a93f0293ac93a|Talk News Politics 
d2df585048f3ac7fe235f82c1104d237|News Politics 
1691268cdb8b8832b4767b64ac559dd8|News Politics 
8bda9d65efe33c42de0a17f97745058a|Documentary Newsmagazine 
179122cd4e00e354d03c633062c51761|Sports event Basketball 
52887478561f035eb90d4d6f2e27ca0d|Sports talk 
6c1785bc1c7010bbe20edf402a14bd31|Newsmagazine Entertainment 
853e58118d735beb6bcbd0dd835f6221|Sports non-event News Sports talk 
38df21773f0f154b2e0ccb7debdd9163|Talk Interview 
9fcfe712d6cc58e5bf4f7cb15cb9135a|News 
a398680e7ed53b45c7320d8d8f5b97f4|News 
8f6f36e506b91e9e12057f511efa379f|News 
ea8a1fea629aec70e6be4d008874675a|News 
22ab69e2fb13d95421b61b8255c161f7|Sports event Basketball 
45289fda75ae604df87eac23178f175b|Talk News 
08172a0e82ce5fce7acd58ca2f666be0|Sports non-event Documentary 
094b500612118b4f0c352dba22c72fcd|Talk 
7f24f035eade12dd385cced8eb420709|Sports non-event News Sports talk 
4a1483b8e3a995eedd7d73606e4af82d|News 
d17e94d4e3893f6347be5c4e6d0a5ac4|News Entertainment Comedy 
5f2d5e36cf4ea8d3a58001e0cbed130d|Sports non-event Basketball 
85eab5a5c28f8790ed925d0aeee86c10|Newsmagazine Entertainment 
fa8f3c6bc2d822741b30163ae0e108d5|Talk Newsmagazine 
eb43e11ddbc60fab6f7367f81e4a5b33|Talk 
550cb1c4993c5bc65a0a5002067bcd08|Newsmagazine Entertainment 
4c039da1d6a45a2ad3b42fd0eefe455b|News 
8273ea49442318bc47d79e4fdea3be48|Talk Interview 
9103ee19dc2b0d1c34c59fe1c0f83796|Talk News 
d46b9ec19283c2ea1c83954e8e7de652|News 
a750c7f8f9e4a0d8a857ec1183218eb2|News 
81153c0a0e82e6b8fa564ad20ab3c5f8|Talk News 
8019d66779b3a2cad3b5cacadb781df6|Talk News 
cb6987668a5820f162c3a4b008ef1d3f|Talk News 
ac63757826b8381d8c53118a693d04c6|News 
f3a74dc190974309380f7089ab7c7db4|News 
b0578b159bd473f5b9e92c24be12ccd2|News 
05c9e2726026dd0c56c127c718e63e72|News 
141488277e3944712b33ec2e9bdb7b33|Talk News 
c1b9858a1a68da7ebdc8d465546ac767|Sports non-event News Sports talk 
3eedbe9d9b7e07387ab6dcbf2897700c|Talk 
5d2fb61a7aca566ec9b30202de0f2efd|News 
56aa565cb00bb40a35325a5bb506961b|Talk News 
fca840daaf149427e884fe9a78927b3a|Newsmagazine Mystery Crime 
92a1587f6bafc67c5832e5982d5d3109|Talk Cooking 
2e9353246f7f2a63c9559bf1a3bdfe50|Sports non-event Basketball 
a567e4562bf0a7ddbc7be2dc8ba6a5c9|News 
5745e067cd8dbb5e1266d0f139e2ba64|Newsmagazine Entertainment 
ddaea8df080ded6ff6168df5dbe08704|News 
77a4120590e89576c030e7e059556e13|News 
a013dad9bd6b165eb707f194b01e4eb1|News 
885eaedc99b07486949ba4bbf9a2a8c9|News Newsmagazine 
7dcd4b450866b1db280cc1a26965dd68|Sports talk News 
aca992e570d8c9737924cd10fc227e9a|News 
2907ba82fa0659e3385edb2990657ac8|News Newsmagazine 
e57910114c31835edca360127ff33115|Newsmagazine 
b5a872b6fcdf8239698a49a9f3e7d1f0|Sports non-event Action sports 
4aebc2ae9eb8995a3872d2c993ce234b|News Politics 
18fe7d43707ee9df5a489ae2eb28ede6|Talk News 
3ba562cd8a77cc8e0562237de9c46559|News 
92930d02ca345dcfc749d11668fe2427|Sports non-event News Sports talk 
7a7f62913554fff029f59fd5194757b3|News 
1a8f30d8428ff25661cec1d189eaafa2|Sports talk Sports non-event Anthology 
eb3c4430053cf8271f1ee17c93dabca7|Sports event Basketball 
d423a6218e2802a12a1615a0cff919c6|Talk News 
ca8b0b02cc8ee99d60f1edd2746ba2f4|News 
b12b238bf123a38f935f55e45bb62967|News 
879a44321a4fa6cf547055f3c20bf81d|News 
51ec71f68eabaa61f31b275f880f2fd9|News 
90045b8018ed8dab425dbbd874687b2b|News 
4af4b4f2851441bd21fe364013e5e4a6|News Interview Politics 
c656bc5101e3f471a9d54487046f9ef9|News 
b7f8db327ede91bc8d43bb651e22361f|Sports non-event Newsmagazine 
7405ef9522a217254a23444bcb810de4|Talk Newsmagazine 
d94876bb263cfc0698072589b7f5d93a|Sports event Figure skating 
3819e96c5b31e8c384b43e4c7691ca67|News 
8b3c7d5b17e20b3d2ec0dee12b167d01|News 
70e1dbb0d067efcd476424cec12baf58|Sports event Basketball 
9dd0df6e8bd599578771f6e3009fcbad|Talk 
eca7418d4a7f4f7518dd73e6c26279dc|Sports talk Sports non-event 
181b1ea45cc3ea1d00d982df1860da9c|News 
c83872245c95ddf8c0833122bc8f9fb2|Sports event Basketball 
92ca5b8b52cc8582fe7dbbb45d7be56c|Newsmagazine Crime Law 
0d6147d192460b2f1d138c161cb5c3e4|News 
878bdf38f02529d72524baa4eacc58fa|News 
1f3a912766b18cfed3fc933d26b756b5|News 
c04a72aab18d0ab16a6283cd5bf39a61|News 
3af8e7e402e12a5415a09b1932ed8bb2|News 
d2fb7e5779ac9037ab3a6b396d9f179a|News Politics 
1310ba62bd225bdff062cb5c733796da|News Politics 
22ded062e05c82536469e99894fcceac|Newsmagazine 
cd1187c91e9cc1b17292bf51b2089400|Talk 
41298f05203694b5e3e99d0990065a90|Talk Cooking 
f4b1f355bcd2a07fea516181880284e8|News 
9d9538ef0d47da718e6a5ffa2d1ab90b|News 
5f349414f90bb1d7bd2fe5794e0da1f4|Sports non-event News Sports talk 
0d821ede90b8ed8c4cd92540469ce068|News Interview Politics 
a7fca534189cf25a5af1bbb632f11c1a|News 
28525f7e0f2aee806b2b40e16d7ec719|News Public affairs 
94bd4bc7ff5fe9aa88a6108fc8d86e7e|Sports non-event Football 
3373f3cb62ba8f3de161ee5e2f356062|Sports talk Sports non-event 
36a7d7c4d8eac1968eb2f34cf81cc5fa|News 
ed34fcd5ca4101299250ada58537990b|News 
47e6aaaf7a91466cf6b4fa3b2115a484|News 
597dd1350f4a12fc9a3eb4a63bc398ca|Sports non-event News Sports talk 
b1983415b2b35dbf1cdd648c8c5ab967|Talk News Public affairs Politics 
ee5301411b82b2323e93c2cc7eed832f|News 
b645bf2a4808ec38d785d0d84e43152d|Newsmagazine Entertainment 
4dc1ddd6ddfeb793b02ec16aabbd0546|News 
8ac4d1f59c7e6442711f17aa2cd52c48|News 
f597cf63fab22376a473a0ce484a64cc|News 
f9fb211c9057f1db85610737bb2f3538|News 
8209ffc443c29ddf45887c3abcd44344|Talk 
5bd216b06f666f808dcaf2d74eb6318c|News 
c050b2e3f98c6f88679abd82a76a9324|Sports event Basketball 
885f5de7736258792033194339d88181|News 
2eda6714bbfa389aa40bd9a60756f593|News 
f1031d869dd9c22c2373abaaf60f5db8|News Talk Public affairs Politics 
5754616f5a8880a9b4acdabba95ce28c|News 
663ef77aa2354c015ad8d5932260c5f2|Sports non-event News 
4c1cd2e3013b36191752def1e2b66bd3|Newsmagazine Mystery Crime 
2d86a91d40e4d0517365ddc81cf7d4cc|News 
4498ac5a440922028a22972de945511a|News Newsmagazine 
85fdca1c109a6af6ce7f66552fd1f9b9|Sports event Basketball 
de5414c47a6066b254a628735f060a85|News 
ebafeb8ecdc59c281b701fd3e507f5c1|News 
c3c8e3eee973deb4a26a9610fdb5fd5d|News 
52ea090110dceffd6c019da4d58e2b4e|Talk Entertainment 
8bf5afc300c426f3bad58073b0e6959a|News Interview Politics 
a4123bec2edc701f9098ffd01976e2c1|News 
061d77b62665da4bbc9b2986d6d757ad|News 
c424aeb10a997c1d31d1b6ffb42bdb5c|Sports talk 
6e9ae9ca97a23d350761487eb6bc8bcd|Talk News 
b19e591555ff9a79071977e5e5475dc5|News 
9efac53c4708f464792bd65185ccb798|Newsmagazine Entertainment 
b03132ff253f7edb9bf04811c3e0b5c2|Sports event Skiing Snowboarding 
92315df5fcaf7d83bc86f3a5929ccaa9|Sports event Basketball 
ac52e5e9dadb636e99a4e959a3908ea4|News 
7cc7bed72a91ef99d5cba0c7d0d5eda7|Newsmagazine 
406222a65007f6872b6848ce95421b6d|News 
c44805c470337cb479bdcb5d3111af6a|Sports non-event News 
92130306c3f9a0f2aff024a9c963b1c0|Talk News 
4ce0b8b3affedc354bfba50abdd90b25|News 
88b536c49e4c478a2d06ae0dd9f9d413|News 
3c089c4eb73331bd55b9e254d486814f|News 
1e7ec5e4a67e1ef0bb692c6b1c9886d7|Sports non-event News Sports talk 
929e57e59fc455911c51204248eb34ce|News 
5de2c8915430a3511e62c1b0a7a627ab|News Politics 
cd6b938203595254c925443fb1740c1a|Sports talk Sports non-event 
8671816e7eaa21edd998fe3dfc489915|News 
c4da484df88f89fb7a2103191e026ae8|Talk News 
5de9a06b94f5359e50d43cd58d34a924|News 
e38b491154810a2b9160c1f55aac9465|Talk News Entertainment 
2b79282054849756b6901d41349ce514|News 
799cac6281dfa60754f066372767380d|News Politics 
4fd3d31d3bac9ed45fdff16b72911cf1|News 
3541482c2a3155b96e0ba6e518532a1a|Sports event Basketball 
cc466d3f137057908f8b2d6f175676aa|Sports non-event News Sports talk 
726343d78ec0434b2a9c2dc1130c8474|News 
969da77fcb2b79b6f8e9ff9d4596a075|Talk Entertainment 
9474bc99f28625c58b1417695722b5b4|News 
049843e909637561ffef28c320f1e84f|Sports non-event Basketball 
7eceb9fb9b40bead8ca412672c9c80f5|Talk News Interview 
3e15d9716836477ed55cc2ef9fea4970|News 
3e43524ceca0778b000f670223dfaff9|Sports non-event News Sports talk 
fdb28a79f116c9cff4e90e275c21227c|News 
fa8e01ede12f71346c16a941e2456830|Sports non-event Football 
e5f45f270003acf83e29787aa98a0f9c|Talk Comedy 
7939d775c0ce4df6f78d4b83e1578dad|News 
f4bd7fc7fc0b43786312b3ad69fd5c89|Newsmagazine Entertainment 
48cf0fe0a57398c9b4cfe7a6a5035e1f|Talk 
3242f7956cedb7c20c6217e7855b5433|Newsmagazine 
